"placa","marca","modelo","anio","kilometraje","ultimo_mantenimiento","descripcion_sintomas","sensor_nivel_combustible","falla_real","subfalla_real","gravedad_real","solucion_real","es_correcto"
"YVJ-638","Kia","Picanto","2016","197460","2024-01-27","Olor a plástico quemado y fusibles se queman constantemente. Empeora en frío.","25.1","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"TGC-224","Hyundai","Accent","2020","86990","2024-03-25","El volante vibra violentamente al frenar a alta velocidad. Empeora en frío.","63.2","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"XFZ-241","Nissan","Sentra","2010","219255","2024-07-14","Testigos del tablero se encienden y apagan aleatoriamente. Se escucha raro.","54.7","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"MKT-230","Nissan","Sentra","2020","87725","2024-02-04","Golpe seco y fuerte al pasar de P a D o R. Empeora en frío.","46.1","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"JVD-661","Toyota","Hilux","2014","198176","2024-07-07","El pedal se siente esponjoso y baja más de lo normal","66.1","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"WKU-648","Hyundai","Accent","2010","244905","2024-09-15","El pedal se va hasta el fondo sin resistencia y no frena. Empeora en frío.","91.0","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"SJW-598","Kia","Sportage","2019","88824","2024-05-03","El volante vibra violentamente al frenar a alta velocidad. Se escucha raro.","48.5","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"NJH-688","Kia","Seltos","2016","136728","2024-08-03","El auto pierde fuerza al exigirle aceleración a fondo. Huele mal.","0.6","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"BHJ-869","Nissan","Versa","2012","241111","2024-11-13","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","78.9","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"NMV-722","Kia","Seltos","2013","145776","2024-02-13","El motor sube de RPM pero el auto apenas avanza. Huele mal.","24.7","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"LTZ-293","Toyota","Hilux","2011","199976","2024-09-26","El indicador de temperatura sube al máximo y sale vapor del capó. Empeora en frío.","94.5","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"SQZ-495","Toyota","RAV4","2016","122301","2024-07-19","Dificultad para arrancar justo después de cargar gasolina. Huele mal.","0.7","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"DCX-645","Hyundai","Tucson","2024","19191","2024-12-25","Manchas rojas en el piso y cambios retardados de forma intermitente.","72.5","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"KHW-255","Toyota","Yaris","2014","184932","2024-02-16","Manchas rojas en el piso y cambios retardados. Se escucha raro.","29.5","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"PEW-969","Hyundai","Tucson","2021","79844","2024-01-23","Golpe seco y fuerte al pasar de P a D o R. Se escucha raro.","17.2","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"UWT-332","Nissan","Versa","2018","143857","2024-05-06","El pedal se va hasta el fondo sin resistencia y no frena","16.6","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"REJ-390","Toyota","Corolla","2019","97740","2024-11-03","Manchas rojas en el piso y cambios retardados. Empeora en frío.","86.8","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"RZM-630","Nissan","March","2012","236834","2024-12-23","El auto se acelera solo o las RPM bajan hasta apagarse. Empeora en frío.","9.0","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"NJX-984","Hyundai","Elantra","2018","134722","2024-03-27","La transmisión se queda pegada en una sola velocidad","15.1","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"UTA-339","Hyundai","Accent","2023","25976","2024-06-10","El pedal se siente esponjoso y baja más de lo normal","74.9","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"LJA-962","Kia","Picanto","2023","33966","2024-05-21","Golpe seco y fuerte al pasar de P a D o R. Huele mal.","51.8","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"DXS-324","Nissan","Frontier","2020","108145","2024-06-15","El indicador de temperatura sube al máximo y sale vapor del capó. Empeora en frío.","39.0","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"ADC-456","Hyundai","Creta","2012","242034","2024-03-05","Manchas rojas en el piso y cambios retardados de forma intermitente.","69.7","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"XGQ-940","Toyota","Yaris","2018","148351","2024-10-17","Olor a balata quemada al soltar el embrague en subidas. Empeora en frío.","80.4","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"VHH-343","Kia","Picanto","2023","41882","2024-11-11","El auto se acelera solo o las RPM bajan hasta apagarse de forma intermitente.","2.6","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"WFT-846","Hyundai","Creta","2022","48372","2024-10-07","La transmisión se queda pegada en una sola velocidad. Huele mal.","40.4","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"NJY-476","Kia","Seltos","2021","57296","2024-04-14","El indicador de temperatura sube al máximo y sale vapor del capó","76.8","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"DFE-352","Toyota","Yaris","2013","194508","2024-04-17","Se enciende testigo ABS pero el frenado mecánico funciona de forma intermitente.","54.6","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"BVV-149","Hyundai","Creta","2018","123270","2024-04-05","Dificultad para arrancar justo después de cargar gasolina. Empeora en frío.","13.1","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"SLW-736","Hyundai","Elantra","2014","172854","2024-09-27","La luz de batería se enciende y las luces principales parpadean","78.2","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"BGG-494","Kia","Picanto","2019","81012","2024-04-11","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","16.3","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"ERP-672","Kia","Rio","2018","138845","2024-02-19","El indicador de temperatura sube al máximo y sale vapor del capó. Huele mal.","73.8","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"WTR-350","Toyota","Hilux","2023","41076","2024-10-16","Chillido muy agudo y constante al pisar el freno suavemente de forma intermitente.","82.2","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"UAG-322","Nissan","Frontier","2016","129798","2024-06-20","Olor a aceite quemado y manchas frescas bajo el motor. Empeora en frío.","94.8","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"YAD-894","Kia","Rio","2021","73428","2024-04-23","Olor a aceite quemado y manchas frescas bajo el motor. Se escucha raro.","55.7","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"GMX-742","Toyota","Hilux","2013","229512","2024-05-20","Dificultad para arrancar justo después de cargar gasolina. Huele mal.","9.9","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"XHH-891","Nissan","Frontier","2022","59910","2024-01-31","El volante vibra violentamente al frenar a alta velocidad. Huele mal.","91.1","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"FNP-178","Hyundai","Accent","2015","123940","2024-11-11","Olor a balata quemada al soltar el embrague en subidas. Empeora en frío.","89.3","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"KRQ-125","Nissan","March","2020","81000","2024-03-04","El volante vibra violentamente al frenar a alta velocidad. Empeora en frío.","19.4","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"DLM-928","Kia","Picanto","2017","123400","2024-12-21","La luz de batería se enciende y las luces principales parpadean. Huele mal.","22.5","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"SAB-101","Nissan","Sentra","2023","43836","2024-12-09","El pedal se va hasta el fondo sin resistencia y no frena de forma intermitente.","64.2","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"NUE-417","Kia","Sportage","2012","261729","2024-12-03","El auto se acelera solo o las RPM bajan hasta apagarse. Huele mal.","1.1","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"PQL-666","Kia","Rio","2023","28262","2024-03-23","El auto se acelera solo o las RPM bajan hasta apagarse. Se escucha raro.","2.8","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"LHM-300","Hyundai","Elantra","2020","79810","2024-12-02","Batería está bien pero el motor no gira al dar arranque. Se escucha raro.","82.2","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"QQR-763","Toyota","RAV4","2021","49504","2024-09-14","La luz de batería se enciende y las luces principales parpadean","25.4","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"UGX-396","Nissan","Sentra","2023","28400","2024-01-14","El motor sube de RPM pero el auto apenas avanza. Huele mal.","17.7","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"XUA-874","Nissan","March","2024","17807","2024-03-26","El motor sube de RPM pero el auto apenas avanza de forma intermitente.","73.5","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"TWL-549","Toyota","RAV4","2019","125370","2024-10-22","Golpe seco y fuerte al pasar de P a D o R. Se escucha raro.","21.5","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"NZK-892","Hyundai","Tucson","2013","176016","2024-06-18","La transmisión se queda pegada en una sola velocidad de forma intermitente.","61.2","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"VTH-547","Nissan","Sentra","2017","102136","2024-03-27","La luz de batería se enciende y las luces principales parpadean. Huele mal.","74.9","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"MEP-840","Kia","Seltos","2014","183546","2024-12-20","El auto da marcha pero no arranca, o se apaga en movimiento","11.6","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"ERK-769","Nissan","Versa","2024","17793","2024-10-07","Testigos del tablero se encienden y apagan aleatoriamente. Se escucha raro.","48.6","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"LDR-900","Hyundai","Tucson","2020","109430","2024-05-20","Dificultad para arrancar justo después de cargar gasolina","9.3","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"HRG-940","Nissan","Versa","2015","201290","2024-11-27","El motor cascabelea (misfire) y la marcha mínima es inestable","42.9","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"XSR-176","Nissan","Frontier","2011","201880","2024-09-07","Manchas rojas en el piso y cambios retardados","46.4","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"ZSZ-831","Nissan","March","2021","72452","2024-03-14","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","3.4","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"RNR-378","Kia","Seltos","2019","79866","2024-07-09","El auto se acelera solo o las RPM bajan hasta apagarse. Empeora en frío.","13.6","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"EUA-760","Kia","Sportage","2010","195735","2024-02-20","El motor cascabelea (misfire) y la marcha mínima es inestable. Empeora en frío.","87.5","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"ZTQ-716","Hyundai","Tucson","2019","85032","2024-05-31","Chillido muy agudo y constante al pisar el freno suavemente. Empeora en frío.","35.9","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"JEK-921","Hyundai","Accent","2012","193388","2024-03-26","Olor a plástico quemado y fusibles se queman constantemente. Se escucha raro.","30.6","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"UMH-778","Hyundai","Tucson","2018","124418","2024-11-20","El auto da marcha pero no arranca, o se apaga en movimiento de forma intermitente.","10.6","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"SYX-411","Nissan","March","2010","196320","2024-11-05","Olor a plástico quemado y fusibles se queman constantemente. Huele mal.","82.9","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"YST-925","Toyota","Yaris","2010","221865","2024-04-27","Olor a balata quemada al soltar el embrague en subidas de forma intermitente.","93.5","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"KXG-629","Nissan","Versa","2011","196770","2024-03-31","Golpe seco y fuerte al pasar de P a D o R de forma intermitente.","81.9","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"QMZ-882","Toyota","Yaris","2018","125405","2024-03-26","El motor cascabelea (misfire) y la marcha mínima es inestable","41.4","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"LXJ-620","Kia","Sportage","2011","243740","2024-08-06","El volante vibra violentamente al frenar a alta velocidad de forma intermitente.","69.3","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"XPK-632","Hyundai","Accent","2024","12117","2024-12-25","El motor sube de RPM pero el auto apenas avanza","60.6","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"UHY-112","Hyundai","Elantra","2017","172584","2024-12-23","El auto da marcha pero no arranca, o se apaga en movimiento","1.8","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"PWG-696","Toyota","Hilux","2011","303464","2024-05-23","Marcha inestable, humo negro y alto consumo de gasolina. Huele mal.","3.2","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"VUQ-438","Hyundai","Elantra","2023","32748","2024-11-26","El indicador de temperatura sube al máximo y sale vapor del capó. Se escucha raro.","77.4","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"RQR-692","Toyota","Corolla","2014","190124","2024-06-11","Batería está bien pero el motor no gira al dar arranque. Empeora en frío.","65.3","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"YMQ-170","Toyota","Yaris","2015","128880","2024-12-03","Olor a balata quemada al soltar el embrague en subidas. Empeora en frío.","25.3","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"GQJ-852","Hyundai","Creta","2012","203242","2024-06-09","El motor sube de RPM pero el auto apenas avanza. Empeora en frío.","91.5","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"DAY-672","Hyundai","Creta","2024","16067","2024-11-28","Manchas rojas en el piso y cambios retardados. Empeora en frío.","68.4","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"YNL-315","Kia","Rio","2019","86304","2024-03-12","Marcha inestable, humo negro y alto consumo de gasolina. Empeora en frío.","7.6","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"WZM-798","Kia","Seltos","2021","79000","2024-03-27","La luz de batería se enciende y las luces principales parpadean de forma intermitente.","29.6","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"EUX-104","Toyota","RAV4","2020","105475","2024-05-22","Chillido muy agudo y constante al pisar el freno suavemente. Empeora en frío.","65.4","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"DSW-821","Kia","Seltos","2011","263606","2024-10-08","El auto da marcha pero no arranca, o se apaga en movimiento. Huele mal.","2.8","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"QYH-595","Nissan","Versa","2024","13747","2024-06-12","Olor a plástico quemado y fusibles se queman constantemente. Empeora en frío.","18.7","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"PTB-294","Kia","Seltos","2022","51261","2024-07-05","Testigos del tablero se encienden y apagan aleatoriamente","40.2","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"QHP-412","Kia","Seltos","2017","148632","2024-03-07","Chillido muy agudo y constante al pisar el freno suavemente. Se escucha raro.","75.1","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"KKR-639","Nissan","Sentra","2021","63628","2024-02-11","La transmisión se queda pegada en una sola velocidad. Se escucha raro.","61.8","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"UEZ-124","Nissan","Frontier","2013","184524","2024-06-24","Golpe seco y fuerte al pasar de P a D o R. Empeora en frío.","17.5","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"SYS-189","Toyota","Hilux","2016","113859","2024-12-20","Dificultad para arrancar justo después de cargar gasolina de forma intermitente.","5.1","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"DRA-438","Toyota","Corolla","2014","221199","2024-12-10","El volante vibra violentamente al frenar a alta velocidad. Se escucha raro.","16.9","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"PLC-147","Toyota","Yaris","2023","24088","2024-08-27","Testigos del tablero se encienden y apagan aleatoriamente. Empeora en frío.","84.8","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"TCG-641","Toyota","Hilux","2012","194714","2024-08-07","Dificultad para arrancar justo después de cargar gasolina","3.1","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"RHK-376","Kia","Rio","2013","156540","2024-08-10","Batería está bien pero el motor no gira al dar arranque. Se escucha raro.","29.4","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"YJQ-474","Kia","Picanto","2023","28804","2024-06-17","Ruido metálico fuerte al encender y vibración excesiva de forma intermitente.","23.7","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"AAT-284","Toyota","Corolla","2020","70565","2024-08-26","El motor tiembla, pierde potencia y consume aceite de forma intermitente.","81.7","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
"UBG-112","Toyota","Hilux","2013","257520","2024-08-04","El motor tiembla, pierde potencia y consume aceite. Huele mal.","73.8","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
"NFR-463","Toyota","RAV4","2019","100290","2024-12-30","El auto pierde fuerza al exigirle aceleración a fondo. Huele mal.","2.7","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"ZLJ-300","Kia","Sportage","2020","78915","2024-07-16","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","12.8","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"JNF-879","Toyota","Corolla","2018","135212","2024-10-26","El auto pierde fuerza al exigirle aceleración a fondo","4.8","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"AGU-947","Nissan","Sentra","2019","86946","2024-03-15","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","11.7","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"RMD-385","Nissan","Sentra","2024","21072","2024-03-29","Chillido muy agudo y constante al pisar el freno suavemente. Empeora en frío.","36.1","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"SCY-868","Toyota","Hilux","2018","145460","2024-06-27","Olor a plástico quemado y fusibles se queman constantemente de forma intermitente.","66.7","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"QFD-674","Hyundai","Creta","2010","195735","2024-12-28","Chillido muy agudo y constante al pisar el freno suavemente. Huele mal.","54.7","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"AVJ-882","Nissan","March","2020","105055","2024-02-15","La luz de batería se enciende y las luces principales parpadean. Empeora en frío.","29.6","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"YNL-643","Nissan","Versa","2024","18423","2024-12-11","El pedal se siente esponjoso y baja más de lo normal. Huele mal.","30.8","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"ZHC-191","Toyota","Yaris","2018","103404","2024-03-02","Manchas rojas en el piso y cambios retardados. Se escucha raro.","66.5","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"JYF-435","Hyundai","Accent","2023","43078","2024-09-30","El volante vibra violentamente al frenar a alta velocidad. Se escucha raro.","21.2","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"KSP-925","Nissan","Frontier","2023","33572","2024-08-09","Olor a balata quemada al soltar el embrague en subidas. Se escucha raro.","41.8","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"TTM-360","Nissan","Versa","2015","184010","2024-07-22","Olor a aceite quemado y manchas frescas bajo el motor de forma intermitente.","34.5","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"XHL-489","Hyundai","Elantra","2022","47013","2024-05-16","Al girar la llave todo se apaga y solo suena un click. Se escucha raro.","29.9","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"YFA-769","Toyota","Hilux","2014","214995","2024-04-15","El motor cascabelea (misfire) y la marcha mínima es inestable. Empeora en frío.","49.8","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"GRK-509","Toyota","Yaris","2011","191954","2024-12-23","Olor a balata quemada al soltar el embrague en subidas","37.2","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"VBG-432","Toyota","RAV4","2010","264870","2024-12-06","Olor a balata quemada al soltar el embrague en subidas. Empeora en frío.","49.6","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"JWS-482","Hyundai","Tucson","2022","58086","2024-02-01","Ruido metálico fuerte al encender y vibración excesiva. Huele mal.","49.3","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"LQJ-811","Hyundai","Creta","2011","263284","2024-05-07","Chillido muy agudo y constante al pisar el freno suavemente de forma intermitente.","47.8","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"UWQ-999","Hyundai","Tucson","2014","176902","2024-07-08","Manchas rojas en el piso y cambios retardados. Se escucha raro.","74.2","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"LLE-289","Toyota","Corolla","2019","99540","2024-11-30","Batería está bien pero el motor no gira al dar arranque. Huele mal.","71.0","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"UXP-321","Toyota","Hilux","2022","53019","2024-02-21","Chillido muy agudo y constante al pisar el freno suavemente","40.3","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"TYH-778","Nissan","Frontier","2020","107010","2024-05-24","Golpe seco y fuerte al pasar de P a D o R","64.1","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"HGD-765","Hyundai","Accent","2014","199474","2024-01-26","Ruido metálico fuerte al encender y vibración excesiva. Se escucha raro.","60.2","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"ACW-237","Toyota","RAV4","2016","162909","2024-04-04","El auto se acelera solo o las RPM bajan hasta apagarse","4.8","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"XGA-252","Kia","Picanto","2020","102870","2024-06-23","La luz de batería se enciende y las luces principales parpadean. Huele mal.","44.4","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"SMQ-415","Kia","Seltos","2017","130832","2024-01-25","Testigos del tablero se encienden y apagan aleatoriamente","94.1","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"CGH-188","Hyundai","Creta","2015","122270","2024-04-17","Se enciende testigo ABS pero el frenado mecánico funciona","31.9","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"GZC-591","Nissan","Sentra","2011","266602","2024-05-19","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","63.4","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"HEL-494","Kia","Picanto","2012","245258","2024-06-26","Batería está bien pero el motor no gira al dar arranque. Se escucha raro.","83.2","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"MTX-672","Kia","Seltos","2017","168176","2024-01-28","Se enciende testigo ABS pero el frenado mecánico funciona","48.5","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"XGD-468","Kia","Rio","2024","17424","2024-03-31","Batería está bien pero el motor no gira al dar arranque. Huele mal.","86.6","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
